country	name	name_normalized	caps	goals	most_recent_year_played	position	year_born	club	club_nationality	played_in_latest
Algeria	Anthony Mandrea	anthonymandrea	2	0	2022	GK	1996	SM Caen	FRA	TRUE
Algeria	Raïs M'Bolhi	raismbolhi	91	0	2022	GK	1986	Al Qadsiah FC	KSA	TRUE
Algeria	Alexandre Oukidja	alexandreoukidja	6	0	2022	GK	1988	FC Metz	FRA	TRUE
Algeria	Moustapha Zeghba	moustaphazeghba	5	0	2022	GK	1990	Damac FC	KSA	TRUE
Algeria	Youcef Atal	youcefatal	29	2	2022	DF	1996	OGC Nice	FRA	TRUE
Algeria	Houcine Benayada	houcinebenayada	18	0	2022	DF	1992	Wydad Casablanca	MAR	TRUE
Algeria	Ramy Bensebaini	ramybensebaini	51	6	2022	DF	1995	Borussia Mönchengladbach	GER	TRUE
Algeria	Yanis Hamache	yanishamache	1	0	2022	DF	1999	SC Dnipro-1	UKR	TRUE
Algeria	Aïssa Mandi	aissamandi	80	4	2022	DF	1991	Villarreal CF	ESP	TRUE
Algeria	Ahmed Touba	ahmedtouba	9	1	2022	DF	1998	İstanbul Başakşehir F.K.	TUR	TRUE
Algeria	Mohamed Amine Tougai	mohamedaminetougai	7	1	2022	DF	2000	Espérance Sportive de Tunis	TUN	TRUE
Algeria	Ismaël Bennacer	ismaelbennacer	44	2	2022	MF	1997	A.C. Milan	ITA	TRUE
Algeria	Nabil Bentaleb	nabilbentaleb	39	5	2022	MF	1994	Angers SCO	FRA	TRUE
Algeria	Hicham Boudaoui	hichamboudaoui	11	0	2022	MF	1999	OGC Nice	FRA	TRUE
Algeria	Ramiz Zerrouki	ramizzerrouki	20	1	2022	MF	1998	FC Twente	NED	TRUE
Algeria	Adem Zorgane	ademzorgane	10	0	2022	MF	2000	R. Charleroi S.C.	BEL	TRUE
Algeria	Karim Aribi	karimaribi	2	0	2022	FW	1994	CR Belouizdad	ALG	TRUE
Algeria	Mohamed El Amine Amoura	mohamedelamineamoura	9	2	2022	FW	2000	FC Lugano	SUI	TRUE
Algeria	Youcef Belaïli	youcefbelaili	47	9	2022	FW	1992	AC Ajaccio	FRA	TRUE
Algeria	Saïd Benrahma	saidbenrahma	19	1	2022	FW	1995	West Ham United F.C.	ENG	TRUE
Algeria	Mehdi Léris	mehdileris	2	0	2022	FW	1998	U.C. Sampdoria	ITA	TRUE
Algeria	Riyad Mahrez	riyadmahrez	79	28	2022	FW	1991	Manchester City F.C.	ENG	TRUE
Algeria	Adam Ounas	adamounas	21	5	2022	FW	1996	Lille OSC	FRA	TRUE
Algeria	Islam Slimani	islamslimani	91	41	2022	FW	1988	Stade Brestois 29	FRA	TRUE
Algeria	Akim Zedadka	akimzedadka	1	0	2022	DF	1995	AJ Auxerre	FRA	FALSE
Algeria	Abdelkader Bedrane	abdelkaderbedrane	15	0	2022	DF	1992	Damac FC	KSA	FALSE
Algeria	Djamel Benlamri	djamelbenlamri	33	3	2022	DF	1989	Khaleej FC	KSA	FALSE
Algeria	Mehdi Tahrat	mehditahrat	16	0	2022	DF	1990	Al-Gharafa SC	QAT	FALSE
Algeria	Youcef Laouafi	youceflaouafi	3	0	2022	DF	1996	CR Belouizdad	ALG	FALSE
Algeria	Réda Halaïmia	redahalaimia	6	0	2021	DF	1996	MC Alger	ALG	FALSE
Algeria	Ilyes Chetti	ilyeschetti	10	0	2021	DF	1995	Angers SCO	FRA	FALSE
Algeria	Sofiane Bendebka	sofianebendebka	18	2	2022	MF	1992	Al Fateh SC	KSA	FALSE
Algeria	Abdelkahar Kadri	abdelkaharkadri	1	0	2022	MF	2000	K.V. Kortrijk	BEL	FALSE
Algeria	Sofiane Feghouli	sofianefeghouli	76	19	2022	MF	1989	'Free agent''		FALSE
Algeria	Adlène Guedioura	adleneguedioura	63	2	2022	MF	1985	Al-Rayyan SC	QAT	FALSE
Algeria	Yacine Brahimi	yacinebrahimi	60	11	2021	MF	1990	Al-Gharafa SC	QAT	FALSE
Algeria	Haris Belkebla	harisbelkebla	10	0	2021	MF	1994	Stade Brestois 29	FRA	FALSE
Algeria	Farid Boulaya	faridboulaya	8	1	2021	MF	1993	Al-Gharafa SC	QAT	FALSE
Algeria	Rachid Ghezzal	rachidghezzal	22	2	2022	FW	1992	Beşiktaş J.K.	TUR	FALSE
Algeria	Billal Brahimi	billalbrahimi	4	0	2022	FW	2000	OGC Nice	FRA	FALSE
Algeria	Riad Benayad	riadbenayad	2	1	2022	FW	1996	Espérance Sportive de Tunis	TUN	FALSE
Algeria	Billel Omrani	billelomrani	1	0	2022	FW	1993	FCSB	ROM	FALSE
Algeria	Ishak Belfodil	ishakbelfodil	20	2	2022	FW	1992	Al-Gharafa SC	QAT	FALSE
Algeria	Mohamed Benyettou	mohamedbenyettou	0	0	2022	FW	1989	Al-Wakrah SC	QAT	FALSE
Algeria	Baghdad Bounedjah	baghdadbounedjah	58	24	2021	FW	1991	Al Sadd SC	QAT	FALSE
Benin	Saturnin Allagbé	saturninallagbe	36	0	2022	GK	1993	Dijon FCO	FRA	TRUE
Benin	Marcel Dandjinou	marceldandjinou	2	0	2022	GK	1998	JDR Stars F.C.	RSA	TRUE
Benin	Loukmane Farou Moussa	loukmanefaroumoussa	0	0	2022	GK	2002	Hammarby Talang FF	SWE	TRUE
Benin	Khaled Adénon	khaledadenon	81	2	2022	DF	1985	Doxa Katokopias FC	CYP	TRUE
Benin	David Kiki	davidkiki	37	0	2022	DF	1993	FCV Farul Constanța	ROU	TRUE
Benin	Olivier Verdon	olivierverdon	29	0	2022	DF	1995	PFC Ludogorets Razgrad	BUL	TRUE
Benin	Youssouf Assogba	youssoufassogba	17	0	2022	DF	2001	Amiens SC	FRA	TRUE
Benin	Moïse Adiléhou	moiseadilehou	14	1	2022	DF	1995	Zira FK	AZE	TRUE
Benin	Melvyn Doremus	melvyndoremus	11	0	2022	DF	1996	FC Chambly	FRA	TRUE
Benin	Yohan Roche	yohanroche	8	1	2022	DF	1997	Adanaspor	TUR	TRUE
Benin	Mohamed Tijani	mohamedtijani	1	0	2022	DF	1997	FC Viktoria Plzeň	CZE	TRUE
Benin	Jordan Adéoti	jordanadeoti	44	1	2022	MF	1989	Stade Lavallois	FRA	TRUE
Benin	Sessi D'Almeida	sessidalmeida	24	1	2022	MF	1995	Pau FC	FRA	TRUE
Benin	Mattéo Ahlinvi	matteoahlinvi	11	0	2022	MF	1999	Dijon FCO	FRA	TRUE
Benin	Junior Olaitan	juniorolaitan	10	1	2022	MF	2002	Chamois Niortais F.C.	FRA	TRUE
Benin	Ryan Adigo	ryanadigo	1	0	2022	MF	2001	1. FC Phönix Lübeck	GER	TRUE
Benin	Mickaël Poté	mickaelpote	69	10	2022	FW	1984	Mağusa Türk Gücü S.K.	CYP	TRUE
Benin	Jodel Dossou	jodeldossou	50	7	2022	FW	1992	Clermont Foot	FRA	TRUE
Benin	Steve Mounié	stevemounie	42	13	2022	FW	1994	Stade Brestois 29	FRA	TRUE
Benin	Cebio Soukou	cebiosoukou	21	4	2022	FW	1992	SV Sandhausen	GER	TRUE
Benin	Marcellin Koukpo	marcellinkoukpo	18	2	2022	FW	1995	CS Constantine	ALG	TRUE
Benin	Désiré Segbé Azankpo	desiresegbeazankpo	15	0	2022	FW	1993	FC Bayern Munich II	GER	TRUE
Benin	Tosin Aiyegun	tosinaiyegun	5	2	2022	FW	1998	FC Zürich	SUI	TRUE
Benin	Angel Chibozo	angelchibozo	1	0	2022	FW	2003	Amiens SC	FRA	TRUE
Benin	Guillaume Agbégninou	guillaumeagbegninou	0	0	2022	GK	1999	Coton Sport FC de Garoua	CMR	FALSE
Benin	Cédric Hountondji	cedrichountondji	18	0	2021	DF	1994	Angers SCO	FRA	FALSE
